ts_ist,date_ist,run_id,step,model,tokens_in,tokens_out,tokens_thinking,grounded_queries,url_fetches,cost_usd,note
2026-08-15T15:59:17.322010+05:30,2026-08-15,20260815T155825+0530,research,gemini-3.5-flash,2618,2281,5277,5,0,0.141949,
2026-08-15T15:59:49.982289+05:30,2026-08-15,20260815T155825+0530,research,gemini-3.5-flash,2608,1959,4809,7,0,0.162824,
2026-08-15T16:01:19.761718+05:30,2026-08-15,20260815T155825+0530,write,gemini-3.5-flash,13747,3735,13407,0,0,0.174899,
2026-08-15T16:01:22.098458+05:30,2026-08-15,20260815T155825+0530,citation_check_0,gemini-2.5-flash-lite,1590,118,0,0,1,0.000772,
2026-08-15T16:01:25.579231+05:30,2026-08-15,20260815T155825+0530,citation_check_1,gemini-2.5-flash-lite,1834,38,0,0,1,0.000645,
2026-08-15T16:01:27.771163+05:30,2026-08-15,20260815T155825+0530,citation_check_2,gemini-2.5-flash-lite,1590,90,0,0,1,0.000702,
2026-08-15T16:02:47.946139+05:30,2026-08-15,20260815T155825+0530,write,gemini-3.5-flash,15473,3281,13883,0,0,0.177685,
2026-08-15T16:02:51.288170+05:30,2026-08-15,20260815T155825+0530,citation_check_0,gemini-2.5-flash-lite,1482,70,0,0,1,0.00062,
2026-08-15T16:02:53.234667+05:30,2026-08-15,20260815T155825+0530,citation_check_1,gemini-2.5-flash-lite,1578,108,0,0,1,0.000743,
2026-08-15T16:02:55.076786+05:30,2026-08-15,20260815T155825+0530,citation_check_2,gemini-2.5-flash-lite,1580,66,0,0,1,0.000639,
2026-08-15T16:02:58.353704+05:30,2026-08-15,20260815T155825+0530,citation_check_3,gemini-2.5-flash-lite,1574,135,0,0,1,0.00081,
2026-08-15T16:03:00.392432+05:30,2026-08-15,20260815T155825+0530,citation_check_4,gemini-2.5-flash-lite,1414,62,0,0,1,0.000579,
2026-08-15T16:03:02.963977+05:30,2026-08-15,20260815T155825+0530,citation_check_5,gemini-2.5-flash-lite,1472,48,0,0,1,0.000562,
2026-08-15T16:03:25.024403+05:30,2026-08-15,20260815T155825+0530,docket,gemini-2.5-flash-lite,5917,8192,0,0,0,0.022255,
2026-08-15T16:03:26.661347+05:30,2026-08-15,20260815T155825+0530,social,gemini-2.5-flash-lite,2284,192,0,0,0,0.001165,
2026-08-15T16:14:38.779808+05:30,2026-08-15,20260815T161437+0530,select,gemini-2.5-flash-lite,3613,63,0,0,0,0.001241,
2026-08-15T16:15:09.096147+05:30,2026-08-15,20260815T161437+0530,research,gemini-3.5-flash,2628,2351,4066,5,0,0.131695,
2026-08-15T16:16:27.056827+05:30,2026-08-15,20260815T161437+0530,research,gemini-3.5-flash,2618,2077,5346,7,0,0.168734,
2026-08-15T16:18:11.359968+05:30,2026-08-15,20260815T161437+0530,write,gemini-3.5-flash,11999,4240,11340,0,0,0.158219,
2026-08-15T16:18:13.656838+05:30,2026-08-15,20260815T161437+0530,citation_check_0,gemini-2.5-flash-lite,1660,101,0,0,1,0.00075,
2026-08-15T16:18:16.478714+05:30,2026-08-15,20260815T161437+0530,citation_check_1,gemini-2.5-flash-lite,1582,438,0,0,1,0.00157,
2026-08-15T16:18:20.165950+05:30,2026-08-15,20260815T161437+0530,citation_check_2,gemini-2.5-flash-lite,1662,373,0,0,1,0.001431,
2026-08-15T16:18:23.339910+05:30,2026-08-15,20260815T161437+0530,citation_check_3,gemini-2.5-flash-lite,1452,105,0,0,1,0.000698,
2026-08-15T16:18:26.206345+05:30,2026-08-15,20260815T161437+0530,citation_check_4,gemini-2.5-flash-lite,1512,267,0,0,1,0.001121,
2026-08-15T16:18:28.971448+05:30,2026-08-15,20260815T161437+0530,citation_check_5,gemini-2.5-flash-lite,1550,76,0,0,1,0.000655,
2026-08-15T16:18:30.783171+05:30,2026-08-15,20260815T161437+0530,citation_check_6,gemini-2.5-flash-lite,1498,98,0,0,1,0.000694,
2026-08-15T16:19:45.415302+05:30,2026-08-15,20260815T161437+0530,write,gemini-3.5-flash,14783,3342,12930,0,0,0.168623,
2026-08-15T16:19:47.819536+05:30,2026-08-15,20260815T161437+0530,citation_check_0,gemini-2.5-flash-lite,1470,89,0,0,1,0.000664,
2026-08-15T16:19:50.585386+05:30,2026-08-15,20260815T161437+0530,citation_check_1,gemini-2.5-flash-lite,2104,108,0,0,1,0.000901,
2026-08-15T16:19:52.325513+05:30,2026-08-15,20260815T161437+0530,citation_check_2,gemini-2.5-flash-lite,1614,0,0,0,1,0.000484,
2026-08-15T16:19:55.178769+05:30,2026-08-15,20260815T161437+0530,citation_check_3,gemini-2.5-flash-lite,1530,183,0,0,1,0.000916,
2026-08-15T16:19:58.469736+05:30,2026-08-15,20260815T161437+0530,citation_check_4,gemini-2.5-flash-lite,1578,88,0,0,1,0.000693,
2026-08-15T16:20:05.740524+05:30,2026-08-15,20260815T161437+0530,docket,gemini-2.5-flash-lite,5917,1831,0,0,0,0.006353,
2026-08-15T16:20:07.891211+05:30,2026-08-15,20260815T161437+0530,social,gemini-2.5-flash-lite,2956,221,0,0,0,0.001439,
2026-08-15T16:29:10.206035+05:30,2026-08-15,20260815T162908+0530,select,gemini-2.5-flash-lite,3612,68,0,0,0,0.001254,
2026-08-15T16:29:37.894428+05:30,2026-08-15,20260815T162908+0530,research,gemini-3.5-flash,2630,2379,3325,5,0,0.125281,
2026-08-15T16:30:44.586578+05:30,2026-08-15,20260815T162908+0530,research,gemini-3.5-flash,2620,162,8095,7,0,0.176243,
2026-08-15T16:32:13.889560+05:30,2026-08-15,20260815T162908+0530,write,gemini-3.5-flash,8693,3397,16476,0,0,0.191896,
2026-08-15T16:33:49.114783+05:30,2026-08-15,20260815T162908+0530,write,gemini-3.5-flash,8732,3743,16152,0,0,0.192153,
2026-08-15T16:33:51.705961+05:30,2026-08-15,20260815T162908+0530,citation_check_0,gemini-2.5-flash-lite,1578,63,0,0,1,0.000631,
2026-08-15T16:33:54.554300+05:30,2026-08-15,20260815T162908+0530,citation_check_1,gemini-2.5-flash-lite,1766,428,0,0,1,0.0016,
2026-08-15T16:33:57.525920+05:30,2026-08-15,20260815T162908+0530,citation_check_2,gemini-2.5-flash-lite,1650,0,0,0,1,0.000495,
2026-08-15T16:34:00.092333+05:30,2026-08-15,20260815T162908+0530,citation_check_2,gemini-2.5-flash-lite,1650,92,0,0,1,0.000725,retry
2026-08-15T16:34:03.584927+05:30,2026-08-15,20260815T162908+0530,citation_check_3,gemini-2.5-flash-lite,1682,158,0,0,1,0.0009,
2026-08-15T16:35:30.079644+05:30,2026-08-15,20260815T162908+0530,write,gemini-3.5-flash,10383,3937,14212,0,0,0.178915,
2026-08-15T16:35:32.183924+05:30,2026-08-15,20260815T162908+0530,citation_check_0,gemini-2.5-flash-lite,1554,114,0,0,1,0.000751,
2026-08-15T16:35:35.334716+05:30,2026-08-15,20260815T162908+0530,citation_check_1,gemini-2.5-flash-lite,1750,0,0,0,1,0.000525,
2026-08-15T16:35:38.202016+05:30,2026-08-15,20260815T162908+0530,citation_check_1,gemini-2.5-flash-lite,1750,340,0,0,1,0.001375,retry
2026-08-15T16:35:41.170584+05:30,2026-08-15,20260815T162908+0530,citation_check_2,gemini-2.5-flash-lite,2020,373,0,0,1,0.001538,
2026-08-15T16:36:00.052848+05:30,2026-08-15,20260815T162908+0530,citation_check_3,gemini-2.5-flash-lite,1698,8098,0,0,1,0.020754,
2026-08-15T16:36:02.469586+05:30,2026-08-15,20260815T162908+0530,citation_check_4,gemini-2.5-flash-lite,1528,77,0,0,1,0.000651,
2026-08-15T16:37:24.143226+05:30,2026-08-15,20260815T162908+0530,write,gemini-3.5-flash,11161,3684,13874,0,0,0.174763,
2026-08-15T16:37:26.472757+05:30,2026-08-15,20260815T162908+0530,citation_check_0,gemini-2.5-flash-lite,1540,103,0,0,1,0.000719,
2026-08-15T16:37:28.431519+05:30,2026-08-15,20260815T162908+0530,citation_check_1,gemini-2.5-flash-lite,1798,0,0,0,1,0.000539,
2026-08-15T16:37:30.765136+05:30,2026-08-15,20260815T162908+0530,citation_check_1,gemini-2.5-flash-lite,1798,273,0,0,1,0.001222,retry
2026-08-15T16:37:34.764542+05:30,2026-08-15,20260815T162908+0530,citation_check_2,gemini-2.5-flash-lite,1788,458,0,0,1,0.001681,
2026-08-15T16:37:36.884283+05:30,2026-08-15,20260815T162908+0530,citation_check_3,gemini-2.5-flash-lite,1692,129,0,0,1,0.00083,
2026-08-15T16:37:39.649301+05:30,2026-08-15,20260815T162908+0530,citation_check_4,gemini-2.5-flash-lite,1484,159,0,0,1,0.000843,
2026-08-15T16:37:41.971819+05:30,2026-08-15,20260815T162908+0530,citation_check_5,gemini-2.5-flash-lite,1524,122,0,0,1,0.000762,
2026-08-15T16:37:48.046752+05:30,2026-08-15,20260815T162908+0530,docket,gemini-2.5-flash-lite,5916,1646,0,0,0,0.00589,
2026-08-15T16:37:49.990227+05:30,2026-08-15,20260815T162908+0530,social,gemini-2.5-flash-lite,2771,202,0,0,0,0.001336,
2026-08-15T16:41:36.385981+05:30,2026-08-15,20260815T164126+0530,select,gemini-2.5-flash-lite,3611,68,0,0,0,0.001253,
2026-08-15T16:42:08.690050+05:30,2026-08-15,20260815T164126+0530,research,gemini-3.5-flash,2629,2411,3973,10,0,0.2014,
2026-08-15T16:43:39.839542+05:30,2026-08-15,20260815T164126+0530,research,gemini-3.5-flash,2619,2780,5676,11,0,0.234033,
2026-08-15T16:46:11.536803+05:30,2026-08-15,20260815T164126+0530,write,gemini-3.5-flash,13593,4766,15410,0,0,0.201974,
2026-08-15T16:46:15.032663+05:30,2026-08-15,20260815T164126+0530,citation_check_0,gemini-2.5-flash-lite,1468,66,0,0,1,0.000605,
2026-08-15T16:46:17.080373+05:30,2026-08-15,20260815T164126+0530,citation_check_0,gemini-2.5-flash-lite,1468,66,0,0,1,0.000605,retry
2026-08-15T16:46:19.025148+05:30,2026-08-15,20260815T164126+0530,citation_check_1,gemini-2.5-flash-lite,1536,159,0,0,1,0.000858,
2026-08-15T16:46:22.302941+05:30,2026-08-15,20260815T164126+0530,citation_check_2,gemini-2.5-flash-lite,1736,70,0,0,1,0.000696,
2026-08-15T16:46:25.068427+05:30,2026-08-15,20260815T164126+0530,citation_check_3,gemini-2.5-flash-lite,1684,174,0,0,1,0.00094,
2026-08-15T16:47:59.453682+05:30,2026-08-15,20260815T164126+0530,write,gemini-3.5-flash,15405,3992,16704,0,0,0.209371,
2026-08-15T16:49:26.658518+05:30,2026-08-15,20260815T164126+0530,write,gemini-3.5-flash,13632,3738,16085,0,0,0.198855,
2026-08-15T16:58:19.044534+05:30,2026-08-15,20260815T165817+0530,select,gemini-2.5-flash-lite,3613,57,0,0,0,0.001226,
2026-08-15T16:58:50.041150+05:30,2026-08-15,20260815T165817+0530,research,gemini-3.5-flash,2631,1848,2934,6,0,0.130985,
2026-08-15T17:00:06.624177+05:30,2026-08-15,20260815T165817+0530,research,gemini-3.5-flash,2621,2931,3578,9,0,0.188512,
2026-08-15T17:02:32.147834+05:30,2026-08-15,20260815T165817+0530,write,gemini-3.5-flash,13749,3675,14485,0,0,0.184063,
2026-08-15T17:02:34.084671+05:30,2026-08-15,20260815T165817+0530,citation_check_0,gemini-2.5-flash-lite,1574,36,0,0,0,0.000562,
2026-08-15T17:02:36.338421+05:30,2026-08-15,20260815T165817+0530,citation_check_1,gemini-2.5-flash-lite,1612,109,0,0,1,0.000756,
2026-08-15T17:02:39.393879+05:30,2026-08-15,20260815T165817+0530,citation_check_2,gemini-2.5-flash-lite,1570,82,0,0,1,0.000676,
2026-08-15T17:02:41.151317+05:30,2026-08-15,20260815T165817+0530,citation_check_3,gemini-2.5-flash-lite,1520,70,0,0,1,0.000631,
2026-08-15T17:02:43.510280+05:30,2026-08-15,20260815T165817+0530,citation_check_4,gemini-2.5-flash-lite,1548,141,0,0,1,0.000817,
2026-08-15T17:04:06.007602+05:30,2026-08-15,20260815T165817+0530,write,gemini-3.5-flash,15618,3435,14753,0,0,0.187119,
